customerID,gender,tenure,Contract,MonthlyCharges,TotalCharges,PaymentMethod,Churn
CUST100000,Male,63,One year,51.17,3206.56,Bank transfer,No
CUST100001,Female,2,One year,50.62,,Bank transfer,No
CUST100002,Male,68,,103.78,7046.77,Mailed check,No
CUST100003,Male,22,Month-to-month,27.24,608.3,Mailed check,No
CUST100004,Male,52,One year,108.11,5604.45,Electronic check,Yes
CUST100005,Female,36,Month-to-month,45.67,1662.32,Credit card,No
CUST100006,Male,8,Month-to-month,79.3,622.12,Electronic check,Yes
CUST100007,Male,14,One year,113.6,1605.71,Mailed check,No
CUST100008,Male,2,Month-to-month,87.81,188.0,Credit card,Yes
CUST100009,Female,69,Two year,61.44,4258.07,Credit card,No
CUST100010,Male,16,Two year,88.95,1422.32,Mailed check,No
CUST100011,Male,25,Two year,54.4,1369.1,Bank transfer,Yes
CUST100012,Male,20,Two year,47.73,949.43,,Yes
CUST100013,Male,71,One year,119.67,8483.94,Credit card,No
CUST100014,Female,20,One year,95.08,1899.32,Electronic check,No
CUST100015,Male,10,One year,84.47,831.33,Bank transfer,No
CUST100016,Female,37,Two year,55.53,2073.89,Electronic check,No
CUST100017,Female,71,Two year,24.92,1753.17,Bank transfer,No
CUST100018,Female,34,Month-to-month,23.11,789.31,Bank transfer,Yes
CUST100019,Male,13,Month-to-month,75.42,985.52,Electronic check,No
CUST100020,Female,13,Two year,96.2,1252.12,Mailed check,Yes
CUST100021,Male,9,Two year,73.74,670.15,Bank transfer,No
CUST100022,Female,11,Two year,,1129.53,Bank transfer,No
CUST100023,Female,37,Two year,23.34,865.78,Electronic check,No
CUST100024,Female,33,Month-to-month,56.68,1861.93,Mailed check,Yes
CUST100025,Female,40,Two year,43.71,1766.01,Bank transfer,No
CUST100026,Female,9,Month-to-month,64.73,593.05,Bank transfer,Yes
CUST100027,Female,16,Two year,27.24,454.74,Mailed check,Yes
CUST100028,Female,16,Two year,115.41,1828.06,Bank transfer,Yes
CUST100029,Female,66,Two year,42.33,2785.19,Mailed check,No
CUST100030,Male,61,Month-to-month,112.23,6833.85,Mailed check,No
CUST100031,Male,0,Month-to-month,62.59,-19.55,Electronic check,No
CUST100032,Female,11,One year,118.55,1293.74,Credit card,Yes
CUST100033,Female,3,Two year,75.41,233.38,Mailed check,No
CUST100034,Female,41,One year,,4625.52,Electronic check,No
CUST100035,Male,12,One year,,246.72,,Yes
CUST100036,Female,3,Month-to-month,94.82,299.97,Bank transfer,Yes
CUST100037,Male,68,Month-to-month,110.31,7508.83,,No
CUST100038,Male,18,One year,33.97,607.25,Mailed check,No
CUST100039,Male,1,Two year,29.61,24.51,Mailed check,No
CUST100040,Male,11,Month-to-month,62.46,685.29,Mailed check,No
CUST100041,Male,5,Two year,113.37,553.93,Mailed check,Yes
CUST100042,Female,7,Two year,74.24,525.04,Mailed check,Yes
CUST100043,Female,50,One year,72.75,3632.07,Electronic check,No
CUST100044,Female,10,One year,34.11,355.19,Mailed check,No
CUST100045,Female,62,One year,20.08,1255.22,Electronic check,No
CUST100046,Female,56,One year,101.01,5660.98,Bank transfer,No
CUST100047,Male,11,Month-to-month,28.76,310.93,Mailed check,No
CUST100048,Female,1,Month-to-month,83.38,71.78,Mailed check,Yes
CUST100049,Female,7,One year,111.46,791.27,Credit card,No
CUST100050,Male,10,Month-to-month,40.87,408.16,Bank transfer,No
CUST100051,Female,52,One year,86.53,4488.55,Mailed check,Yes
CUST100052,Male,9,Two year,27.87,238.64,Mailed check,No
CUST100053,Female,7,Two year,80.38,549.28,Bank transfer,No
CUST100054,,35,Two year,36.39,1284.74,Electronic check,Yes
CUST100055,Female,13,One year,93.6,1205.96,Mailed check,No
CUST100056,Female,53,Two year,50.12,2657.43,Credit card,No
CUST100057,Male,20,Month-to-month,66.34,1324.86,Mailed check,Yes
CUST100058,Male,49,Two year,79.94,3920.24,Credit card,No
CUST100059,Male,38,Two year,37.13,1426.03,Credit card,No
CUST100060,Male,19,Two year,94.16,1803.75,Mailed check,No
CUST100061,Male,6,Month-to-month,50.26,299.6,Mailed check,No
CUST100062,Male,8,One year,86.24,670.53,Credit card,Yes
CUST100063,Male,0,Month-to-month,35.83,-2.94,Bank transfer,Yes
CUST100064,,25,One year,88.81,,Bank transfer,No
CUST100065,Female,37,One year,32.82,1216.65,Mailed check,Yes
CUST100066,Female,37,Two year,62.54,2320.03,Electronic check,Yes
CUST100067,Male,60,One year,44.72,2669.36,Bank transfer,Yes
CUST100068,Female,43,Month-to-month,94.84,4083.98,Mailed check,No
CUST100069,Female,43,Month-to-month,46.2,1973.91,Bank transfer,No
CUST100070,Female,61,One year,108.17,6608.39,Electronic check,No
CUST100071,Female,5,Two year,109.18,539.46,Mailed check,Yes
CUST100072,Male,16,Two year,39.64,642.64,Electronic check,No
CUST100073,Female,50,Month-to-month,81.38,4050.91,Mailed check,Yes
CUST100074,Male,37,Two year,28.77,1060.8,Electronic check,No
CUST100075,Female,23,One year,59.15,1368.65,Bank transfer,Yes
CUST100076,Female,50,One year,91.33,4555.57,Bank transfer,No
CUST100077,Female,9,Month-to-month,85.94,785.27,Electronic check,No
CUST100078,Male,71,One year,82.47,5860.6,Electronic check,No
CUST100079,Female,20,Month-to-month,48.25,968.5,Electronic check,Yes
CUST100080,Male,69,One year,57.8,3982.34,Mailed check,No
CUST100081,Female,56,Month-to-month,30.29,1695.54,Bank transfer,No
CUST100082,Male,38,Two year,91.9,3496.09,Mailed check,Yes
CUST100083,Female,32,One year,70.39,2251.38,Bank transfer,No
CUST100084,Male,58,One year,90.88,,Credit card,No
CUST100085,Male,17,Month-to-month,44.89,760.48,Mailed check,No
CUST100086,Female,55,Month-to-month,52.44,2872.29,Bank transfer,No
CUST100087,Male,56,One year,53.42,2980.08,Bank transfer,No
CUST100088,Female,47,Month-to-month,22.57,1041.02,Mailed check,No
CUST100089,Female,41,One year,54.1,2210.14,Mailed check,No
CUST100090,Female,26,Two year,100.33,2618.54,Bank transfer,No
CUST100091,Female,51,Month-to-month,109.73,5608.0,,No
CUST100092,Female,41,One year,71.82,2932.72,Electronic check,No
CUST100093,Female,31,Two year,65.55,2050.41,Mailed check,No
CUST100094,Female,25,Two year,23.08,577.1,Mailed check,Yes
CUST100095,Female,24,One year,107.92,2606.76,Mailed check,No
CUST100096,Female,22,Month-to-month,21.3,476.87,Bank transfer,No
CUST100097,Female,56,One year,114.48,6419.78,Electronic check,Yes
CUST100098,Female,51,Two year,68.92,3498.32,Credit card,Yes
CUST100099,Male,30,One year,54.19,1614.5,Credit card,No
CUST100100,Male,63,Month-to-month,112.42,7062.81,Electronic check,Yes
CUST100101,Female,70,Two year,22.44,1579.45,Electronic check,No
CUST100102,Female,32,One year,78.14,2494.26,Electronic check,No
CUST100103,Female,1,Month-to-month,74.89,86.36,Bank transfer,Yes
CUST100104,Female,17,Two year,41.93,706.37,Credit card,Yes
CUST100105,Female,46,Month-to-month,62.89,2905.71,Electronic check,No
CUST100106,Female,32,Two year,85.23,2712.59,Bank transfer,No
CUST100107,Female,34,One year,92.71,3139.07,Credit card,No
CUST100108,Female,50,Month-to-month,20.07,997.14,Mailed check,No
CUST100109,Male,17,Two year,113.69,1929.07,Bank transfer,No
CUST100110,Female,71,Month-to-month,36.45,2581.9,Credit card,No
CUST100111,Male,29,Month-to-month,,1267.99,Bank transfer,No
CUST100112,Female,43,One year,46.35,1976.93,Credit card,No
CUST100113,Female,52,Month-to-month,23.78,1230.61,Credit card,No
CUST100114,Male,9,Two year,32.31,304.28,Mailed check,Yes
CUST100115,Female,51,Two year,118.63,6032.8,Bank transfer,No
CUST100116,Male,48,Two year,51.52,2490.65,Electronic check,No
CUST100117,Female,10,Two year,31.53,334.75,Mailed check,No
CUST100118,Female,65,One year,30.7,1979.04,Mailed check,Yes
CUST100119,Male,57,Month-to-month,91.95,5232.8,Credit card,No
CUST100120,,35,One year,105.46,3686.0,Electronic check,No
CUST100121,Male,32,Month-to-month,45.7,1473.46,Bank transfer,No
CUST100122,Female,46,Month-to-month,22.09,1019.98,Electronic check,Yes
CUST100123,Male,12,Month-to-month,42.31,513.49,Electronic check,No
CUST100124,Male,39,One year,25.65,1010.65,Electronic check,Yes
CUST100125,Female,67,Month-to-month,30.34,2017.5,Electronic check,No
CUST100126,Female,41,One year,63.15,2602.48,Electronic check,Yes
CUST100127,Male,18,Two year,42.99,782.04,Credit card,No
CUST100128,Female,18,Two year,71.59,1291.71,Credit card,Yes
CUST100129,Female,57,Month-to-month,45.35,2600.54,Mailed check,Yes
CUST100130,Female,22,,114.05,2517.11,Credit card,No
CUST100131,Male,53,Two year,110.59,5849.34,Mailed check,No
CUST100132,Male,64,One year,76.68,,Mailed check,Yes
CUST100133,Male,11,One year,55.44,609.6,Bank transfer,Yes
CUST100134,Male,23,Month-to-month,58.11,1318.74,Electronic check,Yes
CUST100135,Male,33,Two year,61.19,2037.46,Credit card,No
CUST100136,Male,52,Month-to-month,92.76,4808.66,Bank transfer,No
CUST100137,Male,7,Month-to-month,65.16,464.02,Credit card,No
CUST100138,Male,17,Two year,105.67,1796.64,Mailed check,Yes
CUST100139,Male,56,Two year,114.41,6387.99,Credit card,No
CUST100140,Female,4,One year,53.59,231.35,Electronic check,Yes
CUST100141,Male,25,Two year,76.07,1915.82,Mailed check,Yes
CUST100142,Female,29,One year,29.51,856.76,Mailed check,No
CUST100143,Female,53,One year,40.05,2111.81,Bank transfer,No
CUST100144,Female,12,One year,61.35,721.06,Electronic check,Yes
CUST100145,Male,28,Two year,40.62,1131.9,Mailed check,No
CUST100146,Male,2,Month-to-month,107.66,205.54,Electronic check,No
CUST100147,Male,57,One year,35.83,2042.58,Credit card,No
CUST100148,Male,1,Month-to-month,65.57,84.23,Electronic check,No
CUST100149,Female,27,Month-to-month,80.57,2178.39,Mailed check,No
CUST100150,Male,1,Two year,89.19,104.79,Bank transfer,No
CUST100151,Male,6,Month-to-month,58.31,355.9,Mailed check,No
CUST100152,,25,Month-to-month,106.91,2671.76,Electronic check,No
CUST100153,Male,15,Two year,76.83,1166.63,Electronic check,Yes
CUST100154,Male,22,One year,63.95,1405.75,Mailed check,No
CUST100155,Female,39,Month-to-month,26.72,1056.83,Electronic check,No
CUST100156,Male,59,Two year,66.47,3913.39,Credit card,Yes
CUST100157,Female,31,Month-to-month,102.07,3149.32,Mailed check,No
CUST100158,,14,Month-to-month,81.45,1154.51,Bank transfer,Yes
